SampleName,CntFile,BarCode,Pair,Condition,Sex
102,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D508,P32,0,M
101,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D507,P32,1,M
104,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D502,P33,0,M
103,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D501,P33,1,M
106,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D504,P34,0,M
105,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D503,P34,1,M
108,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D506,P35,0,M
107,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D505,P35,1,M
52,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D508,P36,0,M
51,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D507,P36,1,M
110,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D508,P37,0,M
109,data/placenta.T3.pA/SLX-FGmRNA2014.D704_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D704_D507,P37,1,M
54,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D502,P38,0,F
53,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D501,P38,1,F
60,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D506,P4,0,M
59,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D505,P4,1,M
62,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D508,P5,0,F
61,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D507,P5,1,M
66,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D502,P7,0,M
65,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D501,P7,1,F
12,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D502,P9,0,F
11,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D501,P9,1,F
92,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D506,PX,0,F
91,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D505,PX,1,F
