"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","double-stranded DNA binding","GO:0003690","0.00009085576162969323","4.041647526642785","1287","27","10","19513","ATF4,XRCC5,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:MF","organic cyclic compound binding","GO:0097159","0.00010172739259622773","3.9925620868851515","6065","27","20","19513","PPIB,ATF4,XRCC5,YES1,TGFBR2,DICER1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,FOXF2,PPARA,PFKP,PTK2B,HOXD8,DAPK2,FOXN1,ABCB5"
"GO:MF","kinase activity","GO:0016301","0.0001547599116153315","3.810341526979901","801","27","8","19513","CDKN1A,YES1,TGFBR2,CCND1,MAP3K2,PFKP,PTK2B,DAPK2"
"GO:MF","protein kinase activity","GO:0004672","0.00020090746137333698","3.6970039339680536","591","27","7","19513","CDKN1A,YES1,TGFBR2,CCND1,MAP3K2,PTK2B,DAPK2"
"GO:MF","RNA polymerase II repressing transcription factor binding","GO:0001103","0.0002424545500506479","3.6153696612356225","35","27","3","19513","HDAC1,STAT3,PPARA"
"GO:MF","ATP binding","GO:0005524","0.00025083391338152916","3.600613746155684","1488","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","0.0002862426046123486","3.5432657249753325","896","27","8","19513","ATF4,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","0.0003218571565950071","3.4923368297533868","1547","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","adenyl nucleotide binding","GO:0030554","0.00032627181768661004","3.4864204375568337","1557","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","0.0003928049755208233","3.4058230197966135","953","27","8","19513","CDKN1A,YES1,TGFBR2,CCND1,MAP3K2,PFKP,PTK2B,DAPK2"
"GO:MF","transcription regulator activity","GO:0140110","0.0004273366311083227","3.3692298780549117","1621","27","10","19513","ATF4,CCND1,SMAD7,HDAC1,STAT3,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","0.00046041223311695526","3.3368531457185937","987","27","8","19513","ATF4,SMAD7,STAT3,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","protein domain specific binding","GO:0019904","0.00046041223311695526","3.3368531457185937","714","27","7","19513","ATF4,PTEN,DICER1,HDAC1,TP53,RB1,PPARA"
"GO:MF","DNA binding","GO:0003677","0.0005040609976798176","3.297516905314751","2469","27","12","19513","ATF4,XRCC5,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","molecular function regulator","GO:0098772","0.0005351600366005989","3.2715163252324837","3417","27","14","19513","ATF4,XRCC5,TIMP1,CDKN1A,CCND1,SMAD7,HDAC1,STAT3,DENND2D,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","MDM2/MDM4 family protein binding","GO:0097371","0.0005351600366005989","3.2715163252324837","8","27","2","19513","TP53,PPARA"
"GO:MF","RNA polymerase II transcription factor binding","GO:0001085","0.0006294817863619276","3.201016831397176","56","27","3","19513","ATF4,HDAC1,TP53"
"GO:MF","type I transforming growth factor beta receptor binding","GO:0034713","0.0006458102143583782","3.1898950903123557","9","27","2","19513","TGFBR2,SMAD7"
"GO:MF","catalytic activity, acting on a protein","GO:0140096","0.0008840992497479436","3.0534989779752224","2222","27","11","19513","PPIB,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,MAP3K2,MMP2,PTK2B,DAPK2"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","0.0009007747834602628","3.045383780083035","1831","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","carbohydrate derivative binding","GO:0097367","0.0009636695074859029","3.0160718827823496","2257","27","11","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,CD44,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","collagen binding","GO:0005518","0.0009734421923013","3.0116898338819946","68","27","3","19513","PPIB,SMAD7,CD44"
"GO:MF","purine ribonucleotide binding","GO:0032555","0.0011170907661580307","2.951911538039197","1897","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","ribonucleotide binding","GO:0032553","0.0011170907661580307","2.951911538039197","1914","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","purine nucleotide binding","GO:0017076","0.0011170907661580307","2.951911538039197","1909","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","0.0011170907661580307","2.951911538039197","1183","27","8","19513","ATF4,SMAD7,STAT3,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","DNA-binding transcription factor binding","GO:0140297","0.0011323711229638347","2.9460112142781174","376","27","5","19513","ATF4,HDAC1,STAT3,RB1,PPARA"
"GO:MF","repressing transcription factor binding","GO:0070491","0.0014279626764510298","2.8452831438365944","82","27","3","19513","HDAC1,STAT3,PPARA"
"GO:MF","activin binding","GO:0048185","0.0014279626764510298","2.8452831438365944","15","27","2","19513","TGFBR2,SMAD7"
"GO:MF","small molecule binding","GO:0036094","0.0023432303239307984","2.6301850210505098","2553","27","11","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,CD44,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","nucleotide binding","GO:0000166","0.0025123913798338867","2.5999127053559277","2145","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","nucleoside phosphate binding","GO:1901265","0.0025123913798338867","2.5999127053559277","2146","27","10","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","transforming growth factor beta receptor binding","GO:0005160","0.0035752727896296225","2.4466908163772665","25","27","2","19513","TGFBR2,SMAD7"
"GO:MF","histone deacetylase binding","GO:0042826","0.0035752727896296225","2.4466908163772665","116","27","3","19513","CCND1,HDAC1,TP53"
"GO:MF","RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","0.0038249769296925555","2.417371179944987","284","27","4","19513","HDAC1,STAT3,RB1,PPARA"
"GO:MF","anion binding","GO:0043168","0.005329936115466163","2.273277996389337","2845","27","11","19513","XRCC5,YES1,TGFBR2,DICER1,MAP3K2,TP53,CD44,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","protease binding","GO:0002020","0.00555289418493407","2.2554806022949623","138","27","3","19513","TIMP1,PTEN,TP53"
"GO:MF","ion binding","GO:0043167","0.005718729814480378","2.242700421525041","6258","27","17","19513","XRCC5,TIMP1,CDKN1A,YES1,TGFBR2,DICER1,SMAD7,HDAC1,MAP3K2,MMP2,TP53,CD44,PPARA,PFKP,PTK2B,DAPK2,ABCB5"
"GO:MF","signaling receptor binding","GO:0005102","0.006158199279935586","2.2105462613931905","1588","27","8","19513","TIMP1,YES1,PTEN,TGFBR2,SMAD7,STAT3,TP53,PTK2B"
"GO:MF","disordered domain specific binding","GO:0097718","0.006263742706721768","2.203166089926152","35","27","2","19513","TP53,RB1"
"GO:MF","phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity","GO:0051800","0.00759389990576307","2.119535131539289","1","27","1","19513","PTEN"
"GO:MF","3-phosphoinositide-dependent protein kinase binding","GO:0043423","0.00759389990576307","2.119535131539289","1","27","1","19513","PTK2B"
"GO:MF","cyclin-dependent protein kinase activating kinase activity","GO:0019912","0.00759389990576307","2.119535131539289","1","27","1","19513","CDKN1A"
"GO:MF","nucleic acid binding","GO:0003676","0.00759389990576307","2.119535131539289","4059","27","13","19513","PPIB,ATF4,XRCC5,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","ligand-activated transcription factor activity","GO:0098531","0.007743588479391962","2.1110577349711117","41","27","2","19513","STAT3,PPARA"
"GO:MF","nuclear receptor activity","GO:0004879","0.007743588479391962","2.1110577349711117","41","27","2","19513","STAT3,PPARA"
"GO:MF","protein binding","GO:0005515","0.00914153500224796","2.038980873518561","14101","27","26","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,DENND2D,MAP3K2,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PFKP,PTK2B,HOXD8,DAPK2,FOXN1"
"GO:MF","non-membrane spanning protein tyrosine kinase activity","GO:0004715","0.009423399541534505","2.0257923948942302","46","27","2","19513","YES1,PTK2B"
"GO:MF","core promoter sequence-specific DNA binding","GO:0001046","0.009680181806731174","2.014116485985134","47","27","2","19513","HDAC1,TP53"
"GO:MF","cyclin-dependent protein serine/threonine kinase regulator activity","GO:0016538","0.009937189054112545","2.002736447688518","48","27","2","19513","CDKN1A,CCND1"
"GO:BP","cellular response to chemical stimulus","GO:0070887","1.3763303355990798e-7","6.861277317764696","3308","27","20","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,CD44,PPARA,PFKP,PTK2B,DAPK2"
"GO:BP","animal organ development","GO:0048513","1.3763303355990798e-7","6.861277317764696","3670","27","21","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1,ABCB5"
"GO:BP","regulation of developmental process","GO:0050793","2.4855311385971166e-7","6.604580791673567","2671","27","18","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,CD44,PPARA,PTK2B,FOXN1"
"GO:BP","response to endogenous stimulus","GO:0009719","2.4855311385971166e-7","6.604580791673567","1651","27","15","19513","ATF4,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MMP2,TP53,CD44,PPARA,PTK2B"
"GO:BP","regulation of cell population proliferation","GO:0042127","2.4855311385971166e-7","6.604580791673567","1655","27","15","19513","XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,PTK2B"
"GO:BP","regulation of phosphorylation","GO:0042325","2.4855311385971166e-7","6.604580791673567","1611","27","15","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PPARA,PTK2B"
"GO:BP","positive regulation of nitrogen compound metabolic process","GO:0051173","2.5990747705869383e-7","6.585181226468119","3213","27","19","19513","ATF4,XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1"
"GO:BP","positive regulation of biological process","GO:0048518","2.5990747705869383e-7","6.585181226468119","6125","27","24","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MAP3K2,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,DAPK2,FOXN1"
"GO:BP","positive regulation of developmental process","GO:0051094","2.5990747705869383e-7","6.585181226468119","1403","27","14","19513","PPIB,ATF4,XRCC5,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,PTK2B,FOXN1"
"GO:BP","phosphorylation","GO:0016310","2.645458973620365e-7","6.5774989692173325","2428","27","17","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PPARA,PFKP,PTK2B,DAPK2"
"GO:BP","tissue development","GO:0009888","2.645458973620365e-7","6.5774989692173325","2073","27","16","19513","ATF4,TIMP1,CDKN1A,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,FOXN1"
"GO:BP","regulation of protein phosphorylation","GO:0001932","2.645458973620365e-7","6.5774989692173325","1443","27","14","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PTK2B"
"GO:BP","regulation of phosphate metabolic process","GO:0019220","2.9621256958085616e-7","6.528396516429997","1804","27","15","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PPARA,PTK2B"
"GO:BP","system development","GO:0048731","2.9621256958085616e-7","6.528396516429997","4939","27","22","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1,ABCB5"
"GO:BP","positive regulation of cellular process","GO:0048522","2.9621256958085616e-7","6.528396516429997","5565","27","23","19513","ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MAP3K2,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,DAPK2,FOXN1"
"GO:BP","response to oxygen levels","GO:0070482","2.9621256958085616e-7","6.528396516429997","396","27","9","19513","ATF4,CDKN1A,PTEN,TGFBR2,HDAC1,MMP2,TP53,PPARA,PTK2B"
"GO:BP","positive regulation of cellular metabolic process","GO:0031325","2.9621256958085616e-7","6.528396516429997","3392","27","19","19513","ATF4,XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1"
"GO:BP","regulation of phosphorus metabolic process","GO:0051174","2.9621256958085616e-7","6.528396516429997","1805","27","15","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PPARA,PTK2B"
"GO:BP","positive regulation of protein modification process","GO:0031401","3.1436634544020515e-7","6.502563953637531","1232","27","13","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,CD44,PTK2B"
"GO:BP","response to drug","GO:0042493","3.580101509839126e-7","6.446104659239368","417","27","9","19513","XRCC5,CDKN1A,PTEN,TGFBR2,CCND1,HDAC1,STAT3,TP53,PTK2B"
"GO:BP","response to abiotic stimulus","GO:0009628","3.580101509839126e-7","6.446104659239368","1259","27","13","19513","ATF4,XRCC5,TIMP1,CDKN1A,PTEN,TGFBR2,CCND1,HDAC1,MAP3K2,MMP2,TP53,PPARA,PTK2B"
"GO:BP","regulation of protein modification process","GO:0031399","3.580101509839126e-7","6.446104659239368","1854","27","15","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PTK2B"
"GO:BP","positive regulation of protein phosphorylation","GO:0001934","3.580101509839126e-7","6.446104659239368","1008","27","12","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,STAT3,MAP3K2,TP53,CD44,PTK2B"
"GO:BP","regulation of cellular protein metabolic process","GO:0032268","4.3245894869963444e-7","6.364055111781544","2643","27","17","19513","ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PTK2B"
"GO:BP","positive regulation of macromolecule metabolic process","GO:0010604","5.174329152487167e-7","6.286145948143228","3569","27","19","19513","ATF4,XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1"
"GO:BP","cell population proliferation","GO:0008283","5.421304564494283e-7","6.265896193722218","1945","27","15","19513","XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,PTK2B"
"GO:BP","cellular response to organic substance","GO:0071310","5.421304564494283e-7","6.265896193722218","2702","27","17","19513","ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MMP2,TP53,CD44,PPARA,PFKP,PTK2B"
"GO:BP","protein phosphorylation","GO:0006468","6.194478174577761e-7","6.207995272895126","1974","27","15","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PTK2B,DAPK2"
"GO:BP","positive regulation of phosphorylation","GO:0042327","6.299527399163309e-7","6.200692030805838","1083","27","12","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,STAT3,MAP3K2,TP53,CD44,PTK2B"
"GO:BP","animal organ morphogenesis","GO:0009887","6.299527399163309e-7","6.200692030805838","1085","27","12","19513","ATF4,PTEN,TGFBR2,SMAD7,HDAC1,STAT3,MMP2,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:BP","cellular response to cytokine stimulus","GO:0071345","7.261071644399855e-7","6.138999278073542","1102","27","12","19513","XRCC5,TIMP1,CDKN1A,CCND1,SMAD7,HDAC1,STAT3,MMP2,TP53,CD44,PFKP,PTK2B"
"GO:BP","regulation of protein metabolic process","GO:0051246","7.649502336151686e-7","6.116366818401105","2793","27","17","19513","ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PTK2B"
"GO:BP","response to external stimulus","GO:0009605","7.753747208582484e-7","6.110488362176801","2801","27","17","19513","PPIB,ATF4,XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,PPARA,PTK2B,DAPK2"
"GO:BP","negative regulation of nitrogen compound metabolic process","GO:0051172","7.755043306754719e-7","6.110415772598012","2404","27","16","19513","ATF4,XRCC5,TIMP1,CDKN1A,PTEN,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,CD44,FOXF2,PPARA,HOXD8"
"GO:BP","response to oxygen-containing compound","GO:1901700","8.439642937817248e-7","6.073675927001828","1713","27","14","19513","ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,STAT3,MMP2,TP53,PPARA,PTK2B"
"GO:BP","regulation of growth","GO:0040008","8.58767358170321e-7","6.0661244714969955","671","27","10","19513","PPIB,CDKN1A,PTEN,TGFBR2,SMAD7,STAT3,TP53,RB1,PPARA,PTK2B"
"GO:BP","positive regulation of phosphorus metabolic process","GO:0010562","9.11981337595096e-7","6.040014048801405","1153","27","12","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,STAT3,MAP3K2,TP53,CD44,PTK2B"
"GO:BP","cellular response to abiotic stimulus","GO:0071214","9.11981337595096e-7","6.040014048801405","338","27","8","19513","ATF4,XRCC5,TIMP1,CDKN1A,PTEN,MAP3K2,MMP2,TP53"
"GO:BP","multicellular organism development","GO:0007275","9.11981337595096e-7","6.040014048801405","5475","27","22","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1,ABCB5"
"GO:BP","positive regulation of phosphate metabolic process","GO:0045937","9.11981337595096e-7","6.040014048801405","1153","27","12","19513","XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,HDAC1,STAT3,MAP3K2,TP53,CD44,PTK2B"
"GO:BP","cellular response to environmental stimulus","GO:0104004","9.11981337595096e-7","6.040014048801405","338","27","8","19513","ATF4,XRCC5,TIMP1,CDKN1A,PTEN,MAP3K2,MMP2,TP53"
"GO:BP","negative regulation of cell population proliferation","GO:0008285","0.0000010034040494783123","5.998524150604922","695","27","10","19513","CDKN1A,PTEN,TGFBR2,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,PTK2B"
"GO:BP","cellular developmental process","GO:0048869","0.0000010034040494783123","5.998524150604922","4360","27","20","19513","ATF4,XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,MMP2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,FOXN1,ABCB5"
"GO:BP","regulation of multicellular organismal development","GO:2000026","0.0000010034040494783123","5.998524150604922","2113","27","15","19513","ATF4,XRCC5,TIMP1,PTEN,TGFBR2,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,PPARA,PTK2B,FOXN1"
"GO:BP","negative regulation of cellular macromolecule biosynthetic process","GO:2000113","0.0000010034040494783123","5.998524150604922","1456","27","13","19513","ATF4,XRCC5,CDKN1A,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:BP","positive regulation of metabolic process","GO:0009893","0.0000011050464260218954","5.9566194756968995","3863","27","19","19513","ATF4,XRCC5,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,CD44,FOXF2,PPARA,PTK2B,HOXD8,FOXN1"
"GO:BP","response to cytokine","GO:0034097","0.0000011432037860347039","5.941876345928723","1191","27","12","19513","XRCC5,TIMP1,CDKN1A,CCND1,SMAD7,HDAC1,STAT3,MMP2,TP53,CD44,PFKP,PTK2B"
"GO:BP","negative regulation of nucleobase-containing compound metabolic process","GO:0045934","0.0000013554023148995783","5.867931776961262","1501","27","13","19513","ATF4,XRCC5,CDKN1A,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:BP","negative regulation of macromolecule biosynthetic process","GO:0010558","0.0000014956439649229406","5.825171777107819","1516","27","13","19513","ATF4,XRCC5,CDKN1A,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:BP","negative regulation of cellular metabolic process","GO:0031324","0.000001658402486918697","5.780310059651377","2601","27","16","19513","ATF4,XRCC5,TIMP1,CDKN1A,PTEN,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,CD44,FOXF2,PPARA,HOXD8"
"GO:BP","negative regulation of developmental process","GO:0051093","0.000001747494120723259","5.7575842767220475","983","27","11","19513","TIMP1,CDKN1A,PTEN,TGFBR2,DICER1,SMAD7,STAT3,TP53,RB1,PPARA,PTK2B"
"GO:BP","response to stress","GO:0006950","0.000001747494120723259","5.7575842767220475","3996","27","19","19513","ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,MAP3K2,MMP2,TP53,RB1,CD44,PPARA,PTK2B,FOXN1"
"GO:BP","negative regulation of transcription, DNA-templated","GO:0045892","0.0000018948026468084749","5.722436017287171","1260","27","12","19513","ATF4,XRCC5,CCND1,DICER1,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
